63,Cooper Kupp (LAR),27,51,393,14.6,49,11,1,0,0,0,0,7,47.3,6.8,99.8%
64,Nelson Agholor (BAL),20,28,282,14.1,37,6,3,0,0,0,0,12,46.2,3.9,0.8%
65,Nick Westbrook-Ikhine (TEN),24,36,281,11.7,33,6,3,0,0,0,0,11,46.1,4.2,0.8%
66,Elijah Moore (CLE),43,73,418,9.7,33,6,1,9,11,0,2,11,44.9,4.1,38.8%
67,Tee Higgins (CIN),27,51,328,12.1,33,4,2,0,0,0,0,7,44.8,6.4,91.7%
68,Diontae Johnson (PIT),30,55,385,12.8,39,7,1,0,0,0,0,7,44.5,6.4,83.7%
69,DJ Chark Jr. (CAR),20,38,263,13.2,47,6,3,0,0,0,0,9,44.3,4.9,17.7%
70,KaVontae Turpin (DAL),10,13,113,11.3,34,3,3,8,79,1,0,10,43.2,4.3,0.7%
71,Justin Watson (KC),20,39,332,16.6,37,9,2,0,0,0,1,10,43.2,4.3,3.0%
72,Demario Douglas (NE),36,55,410,11.4,42,8,0,4,29,0,1,10,41.9,4.2,33.9%
73,Michael Gallup (DAL),28,46,357,12.8,41,7,1,0,0,0,0,11,41.7,3.8,21.9%
74,Joshua Palmer (LAC),23,39,377,16.4,60,14,1,0,0,0,1,8,41.7,5.2,25.9%
75,Darnell Mooney (CHI),23,39,345,15.0,41,10,1,2,5,0,0,11,41.0,3.7,19.8%
76,Marvin Mims Jr. (DEN),15,21,282,18.8,60,15,1,6,10,0,1,11,39.2,3.6,6.3%
77,Robert Woods (HOU),30,57,326,10.9,26,2,1,0,0,0,0,9,38.6,4.3,9.0%
78,Dontayvion Wicks (GB),20,32,331,16.6,35,9,1,1,1,0,1,10,37.8,3.8,0.5%
79,Trey Palmer (TB),25,43,227,9.1,26,4,2,1,6,0,0,11,35.3,3.2,0.9%
80,Wan'Dale Robinson (NYG),36,45,265,7.4,22,2,1,6,27,0,0,10,35.2,3.5,8.6%
81,Allen Lazard (NYJ),20,41,290,14.5,39,6,1,0,0,0,0,10,35.0,3.5,13.0%
82,Jake Bobo (SEA),14,18,162,11.6,31,4,2,1,3,1,0,11,34.5,3.1,0.7%
83,Jalin Hyatt (NYG),17,28,330,19.4,58,16,0,0,0,0,0,12,33.0,2.8,2.4%
84,Skyy Moore (KC),20,35,239,12.0,54,6,1,3,23,0,0,11,32.2,2.9,21.1%
85,Chris Moore (TEN),12,20,280,23.3,49,13,0,2,39,0,0,11,31.9,2.9,0.1%
86,Rashod Bateman (BAL),22,36,236,10.7,29,2,1,1,18,0,0,11,31.4,2.9,11.2%
87,Mike Williams (LAC),19,26,249,13.1,49,7,1,1,3,0,0,3,31.2,10.4,19.8%
88,Jameson Williams (DET),12,23,184,15.3,45,8,2,0,0,0,0,7,30.4,4.3,18.4%
89,Brandon Johnson (DEN),8,13,122,15.3,50,5,3,0,0,0,0,7,30.2,4.3,0.1%
90,Alec Pierce (IND),22,39,291,13.2,38,7,0,0,0,0,0,11,29.1,2.6,1.3%
91,Cedrick Wilson Jr. (MIA),12,19,171,14.3,31,4,2,0,0,0,0,8,29.1,3.6,0.3%
92,Marquez Valdes-Scantling (KC),15,28,248,16.5,46,9,1,0,0,0,1,11,28.8,2.6,4.2%
93,Jonathan Mingo (CAR),28,57,286,10.2,40,6,0,0,0,0,0,10,28.6,2.9,6.3%
94,Brandon Powell (MIN),22,31,224,10.2,27,3,1,4,15,0,1,11,27.9,2.5,2.1%
95,Trenton Irwin (CIN),17,23,216,12.7,32,5,1,0,0,0,0,10,27.6,2.8,3.9%
96,Braxton Berrios (MIA),20,26,194,9.7,22,1,1,1,11,0,0,10,26.5,2.7,1.6%
97,Calvin Austin III (PIT),16,27,170,10.6,72,4,1,8,30,0,0,11,26.0,2.4,1.1%
98,Isaiah Hodgins (NYG),15,25,154,10.3,24,1,2,0,0,0,1,12,25.4,2.1,1.2%
99,Quentin Johnston (LAC),21,37,190,9.0,20,1,1,1,2,0,0,11,25.2,2.3,29.8%
100,Mack Hollins (ATL),17,29,247,14.5,45,5,0,0,0,0,0,9,24.7,2.7,0.4%
101,Olamide Zaccheaus (PHI),7,14,116,16.6,34,4,2,0,0,0,0,11,23.6,2.1,0.1%
102,Zay Jones (JAC),13,25,108,8.3,18,0,2,0,0,0,0,5,22.8,4.6,19.8%
103,Dyami Brown (WAS),11,21,168,15.3,35,4,1,1,0,0,0,12,22.8,1.9,0.1%
104,Tre Tucker (LV),8,18,161,20.1,50,7,0,7,63,0,0,11,22.4,2.0,0.1%
105,Jalen Tolbert (DAL),16,28,183,11.4,32,4,1,0,0,0,1,11,22.3,2.0,0.2%
106,JuJu Smith-Schuster (NE),24,38,159,6.6,20,1,1,0,0,0,0,9,21.9,2.4,21.0%
107,Jamison Crowder (WAS),15,18,151,10.1,26,1,1,0,0,0,0,12,21.1,1.8,0.2%
108,Hunter Renfrow (LV),22,29,209,9.5,31,3,0,0,0,0,0,12,20.9,1.7,2.5%
109,Kadarius Toney (KC),22,30,139,6.3,18,0,1,8,9,0,0,10,20.8,2.1,13.8%
110,Scott Miller (ATL),8,10,80,10.0,46,3,2,0,0,0,0,11,20.0,1.8,0.0%
111,DeVante Parker (NE),18,30,200,11.1,22,1,0,0,0,0,0,8,20.0,2.5,1.4%
112,KhaDarel Hodge (ATL),11,15,199,18.1,52,7,0,1,0,0,0,11,19.9,1.8,0.0%
113,Jauan Jennings (SF),14,26,196,14.0,31,4,0,0,0,0,0,10,19.6,2.0,0.8%
114,Allen Robinson II (PIT),23,35,185,8.0,31,2,0,0,0,0,0,11,18.5,1.7,1.2%
115,Derius Davis (LAC),12,13,44,3.7,11,0,0,9,74,0,0,11,17.8,1.6,0.3%
116,Deonte Harty (BUF),13,19,113,8.7,43,3,1,4,0,0,0,11,17.3,1.6,0.3%
117,Deven Thompkins (TB),14,21,78,5.6,26,1,1,5,50,0,1,11,16.8,1.5,0.3%
118,Van Jefferson (ATL),14,31,164,11.7,46,3,0,1,4,0,0,11,16.8,1.5,2.6%
119,Robbie Chosen (MIA),3,4,107,35.7,68,6,1,0,0,0,0,5,16.7,3.3,0.1%
120,Greg Dortch (ARI),10,19,105,10.5,31,2,1,0,0,0,0,11,16.5,1.5,1.2%
121,Andrei Iosivas (CIN),5,8,39,7.8,16,0,2,0,0,0,0,10,15.9,1.6,0.1%
122,River Cracraft (MIA),6,8,87,14.5,24,2,1,0,0,0,0,4,14.7,3.7,0.1%
123,Kyle Philips (TEN),13,19,166,12.8,29,4,0,0,0,0,1,7,14.6,2.1,0.6%
124,Byron Pringle (WAS),13,18,156,12.0,26,1,0,0,0,0,1,11,13.6,1.2,0.0%
125,Xavier Gipson (NYJ),7,11,82,11.7,24,1,0,4,34,0,2,11,13.6,1.2,0.2%
126,Treylon Burks (TEN),8,18,122,15.3,70,5,0,2,14,0,0,5,13.6,2.7,19.3%
127,Ray-Ray McCloud III (SF),9,11,113,12.6,41,4,0,2,23,0,0,11,13.6,1.2,1.1%
128,Terrace Marshall Jr. (CAR),18,32,134,7.4,14,0,0,0,0,0,0,8,13.4,1.7,0.3%
129,John Metchie III (HOU),11,13,129,11.7,22,1,0,0,0,0,0,10,12.9,1.3,0.9%
130,Chase Claypool (MIA),5,16,66,13.2,20,1,1,0,0,0,0,6,12.6,2.1,2.6%
131,Laviska Shenault Jr. (CAR),10,10,60,6.0,14,0,0,12,55,0,0,8,11.5,1.4,0.1%
132,Lil'Jordan Humphrey (DEN),6,8,53,8.8,14,0,1,0,0,0,0,11,11.3,1.0,0.0%
133,Ronnie Bell (SF),4,5,51,12.8,20,1,1,0,0,0,0,10,11.1,1.1,0.1%
134,A.T. Perry (NO),3,6,45,15.0,23,1,1,0,0,0,0,4,10.5,2.6,1.8%
135,Jalen Guyton (LAC),5,13,45,9.0,18,0,1,0,0,0,0,3,10.5,3.5,3.1%
136,Tyler Scott (CHI),10,20,81,8.1,15,0,0,6,44,0,1,11,10.5,1.0,0.1%
137,Parris Campbell (NYG),20,27,104,5.2,17,0,0,0,0,0,0,12,10.4,0.9,2.7%
138,Ben Skowronek (LAR),4,7,32,8.0,20,1,1,2,9,0,0,11,10.1,0.9,0.1%
139,Donovan Peoples-Jones (DET),8,19,97,12.1,29,1,0,0,0,0,0,9,9.7,1.1,2.9%
