124,DeeJay Dallas (SEA),8,28,3.5,8,0,0,6,7,26,4.3,0,2,11,1.4,0.1,0.9%
125,Jashaun Corbin (NYG),1,1,1.0,1,0,0,3,3,12,4.0,0,0,2,1.3,0.7,0.0%
126,Devine Ozigbo (FA),3,5,1.7,4,0,0,1,1,8,8.0,0,0,2,1.3,0.7,0.0%
127,Chase Brown (CIN),2,6,3.0,4,0,0,3,3,7,2.3,0,0,6,1.3,0.2,0.8%
128,Jakob Johnson (LV),0,0,0,0,0,0,1,2,12,12.0,0,0,8,1.2,0.2,0.0%
129,Chris Evans (CIN),2,12,6.0,7,0,0,1,1,-1,-1.0,0,0,7,1.1,0.2,0.2%
130,Anthony McFarland Jr. (PIT),0,0,0,0,0,0,2,2,11,5.5,0,0,3,1.1,0.4,0.1%
131,Kenyan Drake (CLE),1,0,0.0,0,0,0,2,3,31,15.5,0,1,2,1.1,0.6,0.1%
132,Kene Nwangwu (MIN),2,9,4.5,8,0,0,0,0,0,0,0,0,2,0.9,0.5,1.2%
133,Evan Hull (IND),1,1,1.0,1,0,0,1,1,6,6.0,0,0,1,0.7,0.7,1.4%
134,Alex Armah Jr. (WAS),0,0,0,0,0,0,2,2,3,1.5,0,0,3,0.3,0.1,0.0%
135,Reggie Gilliam (BUF),0,0,0,0,0,0,1,1,3,3.0,0,0,10,0.3,0.0,0.0%
136,La'Mical Perine (KC),1,1,1.0,1,0,0,0,1,0,0,0,0,1,0.1,0.1,0.0%
137,Austin Walter (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
138,Eno Benjamin (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
139,J.J. Taylor (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
140,Qadree Ollison (PIT),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
141,Patrick Laird (TB),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
142,Andrew Beck (HOU),5,3,0.6,2,0,1,4,5,14,3.5,0,1,10,0.0,0.0,0.0%
143,Mike Weber (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
144,Travis Homer (CHI),0,0,0,0,0,0,0,1,0,0,0,0,5,0.0,0.0,0.1%
145,Jaret Patterson (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
146,Mohamed Ibrahim (DET),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
147,Demetric Felton Jr. (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
148,Kirk Merritt (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
149,James Robinson (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
150,JaMycal Hasty (NE),0,0,0,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.1%
151,Jermar Jefferson (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
152,Jonathan Ward (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
153,Brittain Brown (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
154,Troy Hairston II (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
155,Julius Chestnut (TEN),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
156,Zander Horvath (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
157,Tyler Badie (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
158,Hassan Haskins (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
159,Bryant Koback (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
160,Malik Davis (DAL),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
161,Ellis Merriweather (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
162,Owen Wright (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
163,Jordan Mims (NO),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
164,Deneric Prince (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
165,Zavier Scott (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
166,Robert Burns (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
167,Jacob Saylors (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
168,Xazavian Valladay (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
169,Kenny McIntosh (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
170,DeWayne McBride (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
171,Henry Pearson (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
172,Derek Parish (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
173,Carlos Washington Jr. (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
174,Jack Colletto (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
175,SaRodorick Thompson Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
176,Lew Nichols III (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
177,Javian Hawkins (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
178,Sincere McCormick (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
179,Kevin Harris (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
180,Gerrid Doaks (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
181,Avery Williams (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
182,Spencer Brown (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
183,Tyler Goodson (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
184,Snoop Conner (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
185,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,7.0%
186,Chad Spann (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
187,Jay Finley (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
188,Garrett Mills (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
189,Shane Bannon (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
190,Brandon Bolden (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
191,Kenny Irons (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
192,Anthony Alridge (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
193,Dantrell Savage (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
194,Chad Simpson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
195,Xavier Omon (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
196,Samkon Gado (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
197,Madison Hedgecock (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
198,Corey Clement (ARI),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
199,Tarik Cohen (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
200,Jeremy McNichols (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
201,Marlon Mack (ARI),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
202,Leonard Fournette (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3%
203,Taquan Mizzell (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
204,Dwayne Washington (DEN),0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
205,J.P. Holtz (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
206,Jason Cabinda (DET),1,0,0.0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
207,Godwin Igwebuike (PIT),0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
208,Nyheim Hines (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
209,Myles Gaskin (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
210,Brennan Clay (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
211,Willie Carter (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
212,Tim Flanders (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
213,Jonathan Williams (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
214,Adam Prentice (NO),1,5,5.0,5,0,0,1,2,5,5.0,0,1,7,-1.0,-0.1,0.0%
215,Deon Jackson (NYG),14,16,1.1,7,0,0,5,6,14,2.8,0,2,2,-1.0,-0.5,1.3%
