57,Isaiah Likely (BAL),13,18,129,9.9,20,1,0,0,0,0,0,12,12.9,1.1,41.4%
58,Harrison Bryant (CLE),5,10,12,2.4,3,0,2,5,8,0,1,11,12.0,1.1,0.1%
59,Brevin Jordan (HOU),6,7,60,10.0,16,0,1,0,0,0,0,7,12.0,1.7,0.0%
60,C.J. Uzomah (NYJ),8,12,58,7.3,19,0,1,0,0,0,0,10,11.8,1.2,0.1%
61,Cole Turner (WAS),10,14,118,11.8,29,2,0,0,0,0,0,10,11.8,1.2,0.0%
62,Tucker Kraft (GB),7,9,58,8.3,27,1,1,0,0,0,0,11,11.8,1.1,1.0%
63,Andrew Beck (HOU),4,5,14,3.5,8,0,0,5,3,1,1,10,11.7,1.2,0.0%
64,Luke Farrell (JAC),10,12,111,11.1,42,3,0,0,0,0,0,11,11.1,1.0,0.0%
65,Will Dissly (SEA),10,13,108,10.8,21,1,0,0,0,0,0,10,10.8,1.1,0.2%
66,Brenton Strange (JAC),4,7,34,8.5,17,0,1,0,0,0,0,10,9.4,0.9,0.1%
67,Will Mallory (IND),6,11,91,15.2,43,3,0,0,0,0,0,6,9.1,1.5,0.0%
68,Jeremy Ruckert (NYJ),10,14,86,8.6,23,1,0,0,0,0,0,11,8.6,0.8,0.1%
69,Quintin Morris (BUF),2,3,26,13.0,15,0,1,0,0,0,0,9,8.6,1.0,0.0%
70,Stephen Sullivan (CAR),7,8,74,10.6,20,1,0,0,0,0,0,5,7.4,1.5,0.0%
71,Jimmy Graham (NO),1,2,8,8.0,8,0,1,0,0,0,0,7,6.8,1.0,0.1%
72,Josiah Deguara (GB),8,8,65,8.1,19,0,0,0,0,0,0,10,6.5,0.7,0.1%
73,Blake Bell (KC),3,5,19,6.3,8,0,1,0,0,0,1,10,5.9,0.6,0.1%
74,Robert Tonyan (CHI),7,9,58,8.3,11,0,0,0,0,0,0,11,5.8,0.5,0.1%
75,Geoff Swaim (ARI),7,8,58,8.3,11,0,0,0,0,0,0,12,5.8,0.5,0.0%
76,Ian Thomas (CAR),3,5,45,15.0,28,1,0,0,0,0,0,7,4.5,0.6,0.0%
77,Jordan Akins (CLE),6,11,45,7.5,12,0,0,0,0,0,0,10,4.5,0.5,0.0%
78,Johnny Mundt (MIN),5,5,45,9.0,18,0,0,0,0,0,0,11,4.5,0.4,0.0%
79,MyCole Pruitt (ATL),4,7,44,11.0,22,1,0,0,0,0,0,10,4.4,0.4,0.0%
80,Darnell Washington (PIT),5,7,41,8.2,10,0,0,0,0,0,0,11,4.1,0.4,0.3%
81,Teagan Quitoriano (HOU),2,3,33,16.5,22,1,0,0,0,0,0,7,3.3,0.5,0.0%
