47,Tim Boyle (NYJ),34,52,65.4,212,4.1,1,3,8,3,3,0,0,2,9.8,4.9,1.3%
48,Clayton Tune (ARI),12,21,57.1,62,3.0,0,2,7,6,29,1,1,5,9.4,1.9,0.6%
49,Tyler Huntley (BAL),5,8,62.5,38,4.8,1,0,0,6,16,0,0,3,7.1,2.4,0.1%
50,Brian Hoyer (LV),23,42,54.8,231,5.5,0,2,1,3,-3,0,0,3,7.0,2.3,0.2%
51,Brett Rypien (SEA),18,38,47.4,172,4.5,0,1,2,3,19,0,1,2,5.8,2.9,0.1%
52,Mike White (MIA),2,3,66.7,67,22.3,1,1,0,5,-7,0,0,3,5.0,1.7,0.1%
53,Bailey Zappe (NE),19,39,48.7,158,4.1,0,2,2,0,0,0,0,4,4.4,1.1,0.6%
54,Malik Willis (TEN),4,5,80.0,74,14.8,0,0,4,5,21,0,1,3,3.1,1.0,0.1%
55,Cooper Rush (DAL),15,20,75.0,114,5.7,0,1,1,12,-5,0,0,7,3.0,0.4,0.1%
56,Jaren Hall (MIN),8,10,80.0,101,10.1,0,0,1,4,10,0,1,2,3.0,1.5,0.7%
57,Drew Lock (SEA),4,12,33.3,66,5.5,0,1,0,1,11,0,0,2,2.7,1.4,0.1%
58,C.J. Beathard (JAC),3,4,75.0,14,3.5,0,0,0,3,-2,0,0,4,0.4,0.1,0.0%
59,Davis Mills (HOU),1,1,100.0,2,2.0,0,0,0,0,0,0,0,1,0.1,0.1,0.0%
60,Sam Ehlinger (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,Ben DiNucci (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,Jake Luton (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,Jacob Eason (NYG),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
64,Jake Fromm (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,Shane Buechele (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,Kellen Mond (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,Sean Clifford (GB),0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.1%
68,Feleipe Franks (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,Trey Lance (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
70,Tanner McKee (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
71,Chris Oladokun (KC),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
72,Jake Haener (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
73,Drew Plitt (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,Hendon Hooker (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
